status_code:404 163.172.64.133 [27/Jun/2017:07:17:24 +0000] GET //a2billing/customer/templates/default/footer.tpl HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:50 +0000] HEAD http://128.199.100.115:80/sql/phpMyAdmin/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:50 +0000] HEAD http://128.199.100.115:80/db/myadmin/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:50 +0000] HEAD http://128.199.100.115:80/db/webadmin/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:50 +0000] HEAD http://128.199.100.115:80/db/dbweb/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:50 +0000] HEAD http://128.199.100.115:80/db/websql/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:50 +0000] HEAD http://128.199.100.115:80/db/webdb/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:50 +0000] HEAD http://128.199.100.115:80/db/dbadmin/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:50 +0000] HEAD http://128.199.100.115:80/db/db-admin/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:50 +0000] HEAD http://128.199.100.115:80/db/phpmyadmin3/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:51 +0000] HEAD http://128.199.100.115:80/db/phpMyAdmin3/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:51 +0000] HEAD http://128.199.100.115:80/db/phpMyAdmin-3/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:51 +0000] HEAD http://128.199.100.115:80/administrator/phpmyadmin/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:51 +0000] HEAD http://128.199.100.115:80/administrator/phpMyAdmin/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:51 +0000] HEAD http://128.199.100.115:80/administrator/db/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:51 +0000] HEAD http://128.199.100.115:80/administrator/web/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:51 +0000] HEAD http://128.199.100.115:80/administrator/pma/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:51 +0000] HEAD http://128.199.100.115:80/administrator/PMA/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:51 +0000] HEAD http://128.199.100.115:80/administrator/admin/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:51 +0000] HEAD http://128.199.100.115:80/phpMyAdmin2/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:51 +0000] HEAD http://128.199.100.115:80/phpMyAdmin3/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:51 +0000] HEAD http://128.199.100.115:80/phpMyAdmin4/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:51 +0000] HEAD http://128.199.100.115:80/phpMyAdmin-3/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:52 +0000] HEAD http://128.199.100.115:80/php-my-admin/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:52 +0000] HEAD http://128.199.100.115:80/PMA2011/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:52 +0000] HEAD http://128.199.100.115:80/PMA2012/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:52 +0000] HEAD http://128.199.100.115:80/PMA2013/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:52 +0000] HEAD http://128.199.100.115:80/PMA2014/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:52 +0000] HEAD http://128.199.100.115:80/PMA2015/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:52 +0000] HEAD http://128.199.100.115:80/PMA2016/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:52 +0000] HEAD http://128.199.100.115:80/PMA2017/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:52 +0000] HEAD http://128.199.100.115:80/PMA2018/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:52 +0000] HEAD http://128.199.100.115:80/pma2011/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:52 +0000] HEAD http://128.199.100.115:80/pma2012/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:52 +0000] HEAD http://128.199.100.115:80/pma2013/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:52 +0000] HEAD http://128.199.100.115:80/pma2014/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:53 +0000] HEAD http://128.199.100.115:80/pma2015/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:53 +0000] HEAD http://128.199.100.115:80/pma2016/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:53 +0000] HEAD http://128.199.100.115:80/pma2017/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:53 +0000] HEAD http://128.199.100.115:80/pma2018/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:53 +0000] HEAD http://128.199.100.115:80/phpmyadmin2011/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:53 +0000] HEAD http://128.199.100.115:80/phpmyadmin2012/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:53 +0000] HEAD http://128.199.100.115:80/phpmyadmin2013/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:53 +0000] HEAD http://128.199.100.115:80/phpmyadmin2014/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:54 +0000] HEAD http://128.199.100.115:80/phpmyadmin2016/ HTTP/1.1
status_code:302 138.75.243.255 [27/Jun/2017:16:53:20 +0000] GET /createUser HTTP/1.1
status_code:500 138.75.243.255 [27/Jun/2017:16:53:20 +0000] GET /login HTTP/1.1
status_code:500 138.75.243.255 [27/Jun/2017:16:53:54 +0000] GET /login HTTP/1.1
status_code:404 138.75.243.255 [27/Jun/2017:16:54:07 +0000] GET /register HTTP/1.1
status_code:200 138.75.243.255 [27/Jun/2017:16:54:45 +0000] GET / HTTP/1.1
status_code:500 138.75.243.255 [27/Jun/2017:16:54:51 +0000] GET /login HTTP/1.1
status_code:200 52.174.52.33 [27/Jun/2017:18:28:46 +0000] GET / HTTP/1.0
status_code:404 124.112.228.45 [27/Jun/2017:20:27:11 +0000] GET /manager/html HTTP/1.1
status_code:500 138.75.243.255 [27/Jun/2017:22:36:59 +0000] GET /employee HTTP/1.1
status_code:500 138.75.243.255 [27/Jun/2017:22:39:12 +0000] GET /employee HTTP/1.1
status_code:500 138.75.243.255 [27/Jun/2017:22:39:20 +0000] GET /employee HTTP/1.1
status_code:200 138.75.243.255 [27/Jun/2017:22:39:45 +0000] GET /employee HTTP/1.1
status_code:200 138.75.243.255 [27/Jun/2017:22:39:58 +0000] GET /employee/create HTTP/1.1
status_code:302 138.75.243.255 [27/Jun/2017:22:40:13 +0000] POST /employee HTTP/1.1
status_code:200 138.75.243.255 [27/Jun/2017:22:40:13 +0000] GET /employee HTTP/1.1
status_code:200 138.75.243.255 [27/Jun/2017:22:44:22 +0000] GET /employee HTTP/1.1
status_code:302 138.75.243.255 [27/Jun/2017:22:44:24 +0000] POST /employee/7 HTTP/1.1
status_code:200 138.75.243.255 [27/Jun/2017:22:44:24 +0000] GET /employee HTTP/1.1
